Name,Year,Population 0-14,Population 15-64,Population 65+,Population,Births,Deaths,Migrations,E.Migration
Andorra,1991,10297.0,40773.0,5405.0,56475,678.0,334.0,3802.0,
Andorra,1992,10910.0,43128.0,5684.0,59722,729.0,337.0,1957.0,898.0
Andorra,1993,11285.0,45301.0,5973.0,62559,723.0,325.0,2928.0,-489.0
Andorra,1994,11190.0,46406.0,6230.0,63826,704.0,284.0,-1211.0,2058.0
Andorra,1995,10688.0,46107.0,6450.0,63245,702.0,337.0,-738.0,-208.0
Andorra,1996,10422.0,46249.0,6687.0,63358,700.0,303.0,203.0,-487.0
Andorra,1997,10331.0,46771.0,6951.0,64053,730.0,303.0,362.0,-94.0
Andorra,1998,10289.0,47246.0,7193.0,64728,781.0,361.0,140.0,115.0
Andorra,1999,10355.0,47318.0,7400.0,65073,833.0,318.0,-383.0,213.0
Andorra,2000,10391.0,47118.0,7590.0,65099,747.0,349.0,-478.0,106.0
Andorra,2001,10469.0,47019.0,7828.0,65316,777.0,331.0,68.0,-297.0
Andorra,2002,10648.0,47253.0,8085.0,65986,749.0,335.0,412.0,-156.0
Andorra,2003,11074.0,49333.0,8375.0,68782,721.0,340.0,4385.0,-1970.0
Andorra,2004,11621.0,52972.0,8654.0,73247,814.0,432.0,3781.0,302.0
Andorra,2005,12065.0,55119.0,8938.0,76122,828.0,425.0,1185.0,1287.0
Andorra,2006,12305.0,56739.0,9250.0,78294,843.0,400.0,2312.0,-583.0
Andorra,2007,12575.0,58599.0,9583.0,80757,867.0,430.0,1734.0,292.0
Andorra,2008,12798.0,59877.0,9956.0,82631,875.0,454.0,1156.0,297.0
Andorra,2009,13015.0,60532.0,10357.0,83904,868.0,477.0,578.0,304.0
Andorra,2010,13153.0,60687.0,10723.0,84563,848.0,498.0,0.0,309.0
Andorra,2011,13239.0,60588.0,11061.0,84888,819.0,518.0,0.0,24.0
Andorra,2012,13280.0,60460.0,11424.0,85164,788.0,538.0,0.0,26.0
Andorra,2013,13253.0,60290.0,11846.0,85389,758.0,558.0,0.0,25.0
Andorra,2014,13091.0,60194.0,12278.0,85563,725.0,575.0,0.0,24.0
Andorra,2015,12872.0,60136.0,12682.0,85690,696.0,593.0,0.0,24.0
Andorra,2016,12632.0,60071.0,13068.0,85771,669.0,610.0,0.0,22.0
Andorra,2017,12349.0,59993.0,13469.0,85811,645.0,625.0,0.0,20.0
Andorra,2018,12059.0,59809.0,13945.0,85813,625.0,642.0,0.0,19.0
Andorra,2019,11767.0,59580.0,14435.0,85782,610.0,656.0,0.0,15.0
Andorra,2020,11459.0,59332.0,14931.0,85722,598.0,670.0,0.0,12.0
Andorra,2021,11137.0,59043.0,15465.0,85645,592.0,673.0,0.0,4.0
Andorra,2022,10828.0,58685.0,16047.0,85560,589.0,678.0,0.0,4.0
Andorra,2023,10522.0,58264.0,16682.0,85468,587.0,682.0,0.0,3.0
Antigua and Barbuda,1991,19483.0,39282.0,5260.0,64025,1417.0,482.0,204.0,-22582.0
Antigua and Barbuda,1992,19705.0,40191.0,5285.0,65181,1456.0,486.0,204.0,-18.0
Antigua and Barbuda,1993,19907.0,41122.0,5302.0,66331,1423.0,501.0,205.0,23.0
Antigua and Barbuda,1994,20095.0,42085.0,5305.0,67485,1473.0,496.0,205.0,-28.0
Antigua and Barbuda,1995,20347.0,43053.0,5310.0,68710,1561.0,499.0,206.0,-43.0
Antigua and Barbuda,1996,20709.0,44024.0,5322.0,70055,1691.0,472.0,203.0,-77.0
Antigua and Barbuda,1997,21131.0,44993.0,5330.0,71454,1679.0,507.0,203.0,24.0
Antigua and Barbuda,1998,21487.0,45970.0,5325.0,72782,1580.0,503.0,204.0,47.0
Antigua and Barbuda,1999,21769.0,46944.0,5304.0,74017,1541.0,559.0,206.0,47.0
Antigua and Barbuda,2000,22127.0,47929.0,5296.0,75352,1771.0,492.0,203.0,-147.0
Antigua and Barbuda,2001,22503.0,48919.0,5313.0,76735,1583.0,503.0,204.0,99.0
Antigua and Barbuda,2002,22673.0,49922.0,5341.0,77936,1392.0,477.0,204.0,82.0
Antigua and Barbuda,2003,22770.0,50927.0,5370.0,79067,1439.0,499.0,204.0,-13.0
Antigua and Barbuda,2004,22892.0,51918.0,5384.0,80194,1474.0,568.0,204.0,17.0
Antigua and Barbuda,2005,22980.0,52913.0,5384.0,81277,1412.0,559.0,204.0,26.0
Antigua and Barbuda,2006,23015.0,53905.0,5419.0,82339,1413.0,551.0,204.0,-4.0
Antigua and Barbuda,2007,22973.0,54965.0,5471.0,83409,1415.0,545.0,204.0,-4.0
