Year,Name,Population 0-14,Population 15-64,Population 65+,Births,Deaths,Migrations
1991-01-01,Andorra,10297.0,40773.0,5405.0,729.0,337.0,2855.0
1992-01-01,Andorra,10910.0,43128.0,5684.0,723.0,325.0,2439.0
1993-01-01,Andorra,11285.0,45301.0,5973.0,704.0,284.0,847.0
1994-01-01,Andorra,11190.0,46406.0,6230.0,702.0,337.0,-946.0
1995-01-01,Andorra,10688.0,46107.0,6450.0,700.0,303.0,-284.0
1996-01-01,Andorra,10422.0,46249.0,6687.0,730.0,303.0,268.0
1997-01-01,Andorra,10331.0,46771.0,6951.0,781.0,361.0,255.0
1998-01-01,Andorra,10289.0,47246.0,7193.0,833.0,318.0,-170.0
1999-01-01,Andorra,10355.0,47318.0,7400.0,747.0,349.0,-372.0
2000-01-01,Andorra,10391.0,47118.0,7590.0,777.0,331.0,-229.0
2001-01-01,Andorra,10469.0,47019.0,7828.0,749.0,335.0,256.0
2002-01-01,Andorra,10648.0,47253.0,8085.0,721.0,340.0,2415.0
2003-01-01,Andorra,11074.0,49333.0,8375.0,814.0,432.0,4083.0
2004-01-01,Andorra,11621.0,52972.0,8654.0,828.0,425.0,2472.0
2005-01-01,Andorra,12065.0,55119.0,8938.0,843.0,400.0,1729.0
2006-01-01,Andorra,12305.0,56739.0,9250.0,867.0,430.0,2026.0
2007-01-01,Andorra,12575.0,58599.0,9583.0,875.0,454.0,1453.0
2008-01-01,Andorra,12798.0,59877.0,9956.0,868.0,477.0,882.0
2009-01-01,Andorra,13015.0,60532.0,10357.0,848.0,498.0,309.0
2010-01-01,Andorra,13153.0,60687.0,10723.0,819.0,518.0,24.0
2011-01-01,Andorra,13239.0,60588.0,11061.0,788.0,538.0,26.0
2012-01-01,Andorra,13280.0,60460.0,11424.0,758.0,558.0,25.0
2013-01-01,Andorra,13253.0,60290.0,11846.0,725.0,575.0,24.0
2014-01-01,Andorra,13091.0,60194.0,12278.0,696.0,593.0,24.0
2015-01-01,Andorra,12872.0,60136.0,12682.0,669.0,610.0,22.0
2016-01-01,Andorra,12632.0,60071.0,13068.0,645.0,625.0,20.0
2017-01-01,Andorra,12349.0,59993.0,13469.0,625.0,642.0,19.0
2018-01-01,Andorra,12059.0,59809.0,13945.0,610.0,656.0,15.0
2019-01-01,Andorra,11767.0,59580.0,14435.0,598.0,670.0,12.0
2020-01-01,Andorra,11459.0,59332.0,14931.0,592.0,673.0,4.0
2021-01-01,Andorra,11137.0,59043.0,15465.0,589.0,678.0,4.0
2022-01-01,Andorra,10828.0,58685.0,16047.0,587.0,682.0,3.0
1991-01-01,Antigua and Barbuda,19483.0,39282.0,5260.0,1456.0,486.0,186.0
1992-01-01,Antigua and Barbuda,19705.0,40191.0,5285.0,1423.0,501.0,228.0
1993-01-01,Antigua and Barbuda,19907.0,41122.0,5302.0,1473.0,496.0,177.0
1994-01-01,Antigua and Barbuda,20095.0,42085.0,5305.0,1561.0,499.0,163.0
1995-01-01,Antigua and Barbuda,20347.0,43053.0,5310.0,1691.0,472.0,126.0
1996-01-01,Antigua and Barbuda,20709.0,44024.0,5322.0,1679.0,507.0,227.0
1997-01-01,Antigua and Barbuda,21131.0,44993.0,5330.0,1580.0,503.0,251.0
1998-01-01,Antigua and Barbuda,21487.0,45970.0,5325.0,1541.0,559.0,253.0
1999-01-01,Antigua and Barbuda,21769.0,46944.0,5304.0,1771.0,492.0,56.0
2000-01-01,Antigua and Barbuda,22127.0,47929.0,5296.0,1583.0,503.0,303.0
2001-01-01,Antigua and Barbuda,22503.0,48919.0,5313.0,1392.0,477.0,286.0
2002-01-01,Antigua and Barbuda,22673.0,49922.0,5341.0,1439.0,499.0,191.0
2003-01-01,Antigua and Barbuda,22770.0,50927.0,5370.0,1474.0,568.0,221.0
2004-01-01,Antigua and Barbuda,22892.0,51918.0,5384.0,1412.0,559.0,230.0
2005-01-01,Antigua and Barbuda,22980.0,52913.0,5384.0,1413.0,551.0,200.0
2006-01-01,Antigua and Barbuda,23015.0,53905.0,5419.0,1415.0,545.0,200.0
2007-01-01,Antigua and Barbuda,22973.0,54965.0,5471.0,1417.0,540.0,201.0
2008-01-01,Antigua and Barbuda,22942.0,55992.0,5553.0,1420.0,536.0,201.0
2009-01-01,Antigua and Barbuda,22913.0,56994.0,5665.0,1424.0,532.0,200.0
2010-01-01,Antigua and Barbuda,22821.0,58044.0,5799.0,1430.0,530.0,200.0
2011-01-01,Antigua and Barbuda,22631.0,59164.0,5969.0,1438.0,529.0,199.0
2012-01-01,Antigua and Barbuda,22396.0,60311.0,6165.0,1446.0,528.0,200.0
2013-01-01,Antigua and Barbuda,22220.0,61375.0,6395.0,1453.0,529.0,201.0
2014-01-01,Antigua and Barbuda,22125.0,62333.0,6657.0,1462.0,530.0,199.0
2015-01-01,Antigua and Barbuda,21943.0,63359.0,6944.0,1474.0,533.0,200.0
2016-01-01,Antigua and Barbuda,21746.0,64375.0,7266.0,1485.0,536.0,201.0
2017-01-01,Antigua and Barbuda,21753.0,65182.0,7602.0,1493.0,539.0,202.0
2018-01-01,Antigua and Barbuda,21832.0,65903.0,7958.0,1499.0,545.0,205.0
2019-01-01,Antigua and Barbuda,21884.0,66628.0,8340.0,1508.0,550.0,202.0
2020-01-01,Antigua and Barbuda,21958.0,67302.0,8752.0,1517.0,558.0,204.0
2021-01-01,Antigua and Barbuda,22069.0,67904.0,9202.0,1521.0,567.0,206.0
2022-01-01,Antigua and Barbuda,22188.0,68450.0,9697.0,1523.0,577.0,208.0
1991-01-01,Aruba,16787.0,44802.0,4715.0,1292.0,485.0,2367.0
1992-01-01,Aruba,17455.0,47037.0,4986.0,1337.0,522.0,3773.0
1993-01-01,Aruba,18259.0,50415.0,5392.0,1315.0,556.0,3028.0
1994-01-01,Aruba,18844.0,53235.0,5774.0,1419.0,579.0,1269.0
1995-01-01,Aruba,19189.0,54745.0,6028.0,1452.0,611.0,2267.0
1996-01-01,Aruba,19657.0,57045.0,6368.0,1457.0,642.0,2321.0
1997-01-01,Aruba,20065.0,59407.0,6734.0,1315.0,665.0,1348.0
1998-01-01,Aruba,20189.0,60985.0,7030.0,1253.0,681.0,483.0
1999-01-01,Aruba,20090.0,61886.0,7283.0,1198.0,697.0,235.0
2000-01-01,Aruba,19889.0,62579.0,7527.0,1197.0,700.0,477.0
2001-01-01,Aruba,19746.0,63433.0,7790.0,1202.0,706.0,701.0
2002-01-01,Aruba,19676.0,64387.0,8103.0,1215.0,716.0,1042.0
2003-01-01,Aruba,19678.0,65566.0,8463.0,1233.0,728.0,1232.0
2004-01-01,Aruba,19722.0,66851.0,8871.0,1248.0,740.0,999.0
2005-01-01,Aruba,19732.0,67962.0,9257.0,1265.0,753.0,998.0
2006-01-01,Aruba,19713.0,69100.0,9648.0,1282.0,766.0,999.0
2007-01-01,Aruba,19693.0,70225.0,10058.0,1301.0,781.0,998.0
2008-01-01,Aruba,19662.0,71371.0,10461.0,1318.0,796.0,998.0
2009-01-01,Aruba,19658.0,72458.0,10898.0,1335.0,812.0,1000.0
2010-01-01,Aruba,19631.0,73545.0,11361.0,1355.0,830.0,1000.0
2011-01-01,Aruba,19547.0,74667.0,11848.0,1373.0,848.0,1000.0
2012-01-01,Aruba,19471.0,75736.0,12380.0,1387.0,866.0,1002.0
2013-01-01,Aruba,19482.0,76684.0,12944.0,1399.0,886.0,1004.0
2014-01-01,Aruba,19604.0,77462.0,13561.0,1409.0,906.0,1005.0
2015-01-01,Aruba,19792.0,78134.0,14209.0,1420.0,926.0,1004.0
2016-01-01,Aruba,20015.0,78737.0,14881.0,1430.0,947.0,1005.0
2017-01-01,Aruba,20240.0,79290.0,15591.0,1437.0,968.0,1006.0
2018-01-01,Aruba,20468.0,79777.0,16351.0,1441.0,991.0,1010.0
2019-01-01,Aruba,20687.0,80223.0,17146.0,1443.0,1013.0,1010.0
2020-01-01,Aruba,20892.0,80637.0,17967.0,1445.0,1033.0,1009.0
2021-01-01,Aruba,21080.0,81051.0,18786.0,1446.0,1054.0,1011.0
2022-01-01,Aruba,21259.0,81423.0,19638.0,1446.0,1075.0,1011.0
1991-01-01,Australia,3723758.0,11348037.0,1912866.0,264151.0,123660.0,76311.0
1992-01-01,Australia,3758549.0,11480652.0,1962262.0,260229.0,121599.0,50241.0
1993-01-01,Australia,3786437.0,11593714.0,2010183.0,258051.0,126692.0,41932.0
1994-01-01,Australia,3809193.0,11701203.0,2053229.0,256190.0,125133.0,63488.0
1995-01-01,Australia,3832723.0,11829674.0,2095773.0,253834.0,128719.0,95103.0
1996-01-01,Australia,3853512.0,11985052.0,2139824.0,251842.0,129350.0,96919.0
1997-01-01,Australia,3866696.0,12158443.0,2172660.0,249616.0,127202.0,83160.0
1998-01-01,Australia,3872228.0,12324949.0,2206196.0,248870.0,128102.0,88646.0
1999-01-01,Australia,3879217.0,12494037.0,2239533.0,249636.0,128291.0,101590.0
2000-01-01,Australia,3889804.0,12676571.0,2269347.0,246394.0,128544.0,123221.0
2001-01-01,Australia,3902408.0,12859873.0,2314512.0,250988.0,133707.0,123399.0
2002-01-01,Australia,3907292.0,13049102.0,2361079.0,251161.0,132292.0,112733.0
2003-01-01,Australia,3912705.0,13227317.0,2409053.0,254246.0,132508.0,106798.0
2004-01-01,Australia,3917633.0,13400262.0,2459716.0,259688.0,130714.0,108246.0
2005-01-01,Australia,3921551.0,13576973.0,2516307.0,272670.0,133739.0,124183.0
2006-01-01,Australia,3933926.0,13763209.0,2580810.0,285213.0,137854.0,185081.0
2007-01-01,Australia,3968423.0,13997315.0,2644647.0,296621.0,143946.0,277202.0
2008-01-01,Australia,4028812.0,14300440.0,2711010.0,295738.0,140760.0,280144.0
