dataset,train_steps,n_simulations,score_mean,score_type,future steps,repetition
german,100,1,0.0,rmse,1,0
german,100,1,0.0,rmse,1,1
german,100,1,0.0,rmse,1,2
german,100,1,0.0,rmse,1,3
german,100,1,0.0,rmse,1,4
german,100,1,0.0,rmse,1,5
german,100,1,0.0,rmse,1,6
german,100,1,0.0,rmse,1,7
german,100,1,0.0,rmse,1,8
german,100,1,0.0,rmse,1,9
german,500,1,0.0,rmse,1,0
german,500,1,0.0,rmse,1,1
german,500,1,0.0,rmse,1,2
german,500,1,0.0,rmse,1,3
german,500,1,0.0,rmse,1,4
german,500,1,0.0,rmse,1,5
german,500,1,0.0,rmse,1,6
german,500,1,0.0,rmse,1,7
german,500,1,0.0,rmse,1,8
german,500,1,0.0,rmse,1,9
german,1000,1,0.0,rmse,1,0
german,1000,1,0.0,rmse,1,1
german,1000,1,0.0,rmse,1,2
german,1000,1,0.0,rmse,1,3
german,1000,1,0.0,rmse,1,4
german,1000,1,0.0,rmse,1,5
german,1000,1,0.0,rmse,1,6
german,1000,1,0.0,rmse,1,7
german,1000,1,0.0,rmse,1,8
german,1000,1,0.0,rmse,1,9
german,100,1,0.002901457055702701,rmse,10,0
german,100,1,0.005426693674629547,rmse,10,1
german,100,1,0.004257050304325976,rmse,10,2
german,100,1,0.0031100380052559,rmse,10,3
german,100,1,0.0074599094758165665,rmse,10,4
german,100,1,0.0033987912111109937,rmse,10,5
german,100,1,0.003412638899864425,rmse,10,6
german,100,1,0.011119841225916374,rmse,10,7
german,100,1,0.0005783093336105415,rmse,10,8
german,100,1,0.0028976535352904158,rmse,10,9
german,500,1,0.0024020453531219572,rmse,10,0
german,500,1,0.000641989112807967,rmse,10,1
german,500,1,0.0048395075160650265,rmse,10,2
german,500,1,0.0002785970694560047,rmse,10,3
german,500,1,0.0009887742976563856,rmse,10,4
german,500,1,0.0013549323226154163,rmse,10,5
german,500,1,0.00325197667646577,rmse,10,6
german,500,1,0.0012155919115629567,rmse,10,7
german,500,1,0.0009441611951715788,rmse,10,8
german,500,1,0.0013538019917186564,rmse,10,9
german,1000,1,0.0001487213003808644,rmse,10,0
german,1000,1,0.0009740795363904018,rmse,10,1
german,1000,1,0.0020035120196436516,rmse,10,2
german,1000,1,0.0014095628644858204,rmse,10,3
german,1000,1,0.0012031191376951926,rmse,10,4
german,1000,1,0.0024602157002755515,rmse,10,5
german,1000,1,0.001003550172190941,rmse,10,6
german,1000,1,0.0002257287434843245,rmse,10,7
german,1000,1,0.00039141774498520566,rmse,10,8
german,1000,1,0.0002650370085324439,rmse,10,9
german,100,1,0.0,smape,1,0
german,100,1,0.0,smape,1,1
german,100,1,0.0,smape,1,2
german,100,1,0.0,smape,1,3
german,100,1,0.0,smape,1,4
german,100,1,0.0,smape,1,5
german,100,1,0.0,smape,1,6
german,100,1,0.0,smape,1,7
german,100,1,0.0,smape,1,8
german,100,1,0.0,smape,1,9
german,500,1,0.0,smape,1,0
german,500,1,0.0,smape,1,1
german,500,1,0.0,smape,1,2
german,500,1,0.0,smape,1,3
german,500,1,0.0,smape,1,4
german,500,1,0.0,smape,1,5
german,500,1,0.0,smape,1,6
german,500,1,0.0,smape,1,7
german,500,1,0.0,smape,1,8
german,500,1,0.0,smape,1,9
german,1000,1,0.0,smape,1,0
german,1000,1,0.0,smape,1,1
german,1000,1,0.0,smape,1,2
german,1000,1,0.0,smape,1,3
german,1000,1,0.0,smape,1,4
german,1000,1,0.0,smape,1,5
german,1000,1,0.0,smape,1,6
german,1000,1,0.0,smape,1,7
german,1000,1,0.0,smape,1,8
german,1000,1,0.0,smape,1,9
german,100,1,0.6636781958568825,smape,10,0
german,100,1,1.0017430810512316,smape,10,1
german,100,1,0.7221530419008192,smape,10,2
german,100,1,0.6380317923207092,smape,10,3
german,100,1,1.242730068564931,smape,10,4
german,100,1,0.6407184225154736,smape,10,5
german,100,1,0.6408111529362863,smape,10,6
german,100,1,2.136459556686785,smape,10,7
german,100,1,0.10689628941027837,smape,10,8
german,100,1,0.492270112035184,smape,10,9
german,500,1,0.4971716151348328,smape,10,0
german,500,1,0.14275231578448946,smape,10,1
german,500,1,0.939806420171936,smape,10,2
german,500,1,0.06394426852841345,smape,10,3
german,500,1,0.17000309231184763,smape,10,4
german,500,1,0.31839161661404886,smape,10,5
german,500,1,0.690225582060745,smape,10,6
german,500,1,0.21890041019814138,smape,10,7
german,500,1,0.21415109455694345,smape,10,8
german,500,1,0.2713892833033812,smape,10,9
german,1000,1,0.03265924613496993,smape,10,0
german,1000,1,0.22012694149108242,smape,10,1
german,1000,1,0.3740182309353423,smape,10,2
german,1000,1,0.2732069838525257,smape,10,3
german,1000,1,0.2454132276509628,smape,10,4
german,1000,1,0.5420149676183295,smape,10,5
german,1000,1,0.22773284100001262,smape,10,6
german,1000,1,0.04767109330496422,smape,10,7
german,1000,1,0.07531913119424201,smape,10,8
german,1000,1,0.06343347881647493,smape,10,9
german,100,1,0.0,mae,1,0
