dataset,train_steps,n_simulations,score_mean,score_type,future steps,repetition
inverted,100,1,0.0003644782838043733,rmse,2,0
inverted,100,1,0.00017033692013457277,rmse,2,1
inverted,100,1,0.0007488789740042316,rmse,2,2
inverted,100,1,0.0003285541910793903,rmse,2,3
inverted,100,1,0.0003338672171340171,rmse,2,4
inverted,100,1,0.0001810440170552906,rmse,2,5
inverted,100,1,0.0007561985068712676,rmse,2,6
inverted,100,1,0.0010140201259494547,rmse,2,7
inverted,100,1,0.00020578260298264212,rmse,2,8
inverted,100,1,9.614369975919815e-05,rmse,2,9
inverted,500,1,0.00013125526027416183,rmse,2,0
inverted,500,1,0.00012048874400928075,rmse,2,1
inverted,500,1,5.205969117877607e-05,rmse,2,2
inverted,500,1,0.00011342454736494798,rmse,2,3
inverted,500,1,5.098165485039919e-05,rmse,2,4
inverted,500,1,0.00035312564737864253,rmse,2,5
inverted,500,1,0.0005645158662693605,rmse,2,6
inverted,500,1,0.0006952149250147567,rmse,2,7
inverted,500,1,0.0002698316824637318,rmse,2,8
inverted,500,1,3.497372348447093e-05,rmse,2,9
inverted,1000,1,6.841180404851106e-05,rmse,2,0
inverted,1000,1,6.934039947415838e-05,rmse,2,1
inverted,1000,1,7.974641613836535e-05,rmse,2,2
inverted,1000,1,0.00020590510270076,rmse,2,3
inverted,1000,1,8.14641318615237e-06,rmse,2,4
inverted,1000,1,0.00019460147115891711,rmse,2,5
inverted,1000,1,3.725330858094258e-05,rmse,2,6
inverted,1000,1,0.00010843407451050843,rmse,2,7
inverted,1000,1,0.0001925691774356154,rmse,2,8
inverted,1000,1,1.567831345842203e-05,rmse,2,9
inverted,100,1,0.12688105437833988,smape,2,0
inverted,100,1,0.05925711424631247,smape,2,1
inverted,100,1,0.2596909291547459,smape,2,2
inverted,100,1,0.11409999672078915,smape,2,3
inverted,100,1,0.11621244053383603,smape,2,4
inverted,100,1,0.06298426442777194,smape,2,5
inverted,100,1,0.26222248897848155,smape,2,6
inverted,100,1,0.35131168457455864,smape,2,7
inverted,100,1,0.07149447512580322,smape,2,8
inverted,100,1,0.033415665676135645,smape,2,9
inverted,500,1,0.045613459173026415,smape,2,0
inverted,500,1,0.04190857356885646,smape,2,1
inverted,500,1,0.018103170212915416,smape,2,2
inverted,500,1,0.03945052488847771,smape,2,3
inverted,500,1,0.017728228784617696,smape,2,4
inverted,500,1,0.12292415163373435,smape,2,5
inverted,500,1,0.1958840335500386,smape,2,6
inverted,500,1,0.24112656339196578,smape,2,7
inverted,500,1,0.09372601167861588,smape,2,8
inverted,500,1,0.012160995190087367,smape,2,9
inverted,1000,1,0.023779471121429367,smape,2,0
inverted,1000,1,0.024113790581730604,smape,2,1
inverted,1000,1,0.027718212036311897,smape,2,2
inverted,1000,1,0.07163950192214613,smape,2,3
inverted,1000,1,0.002832230313167034,smape,2,4
inverted,1000,1,0.06770402494262026,smape,2,5
inverted,1000,1,0.012953750769793253,smape,2,6
inverted,1000,1,0.03768569359247666,smape,2,7
inverted,1000,1,0.066906843080055,smape,2,8
inverted,1000,1,0.005451266953820528,smape,2,9
inverted,100,1,8.149982189090393e-05,mae,2,0
inverted,100,1,3.808849324988574e-05,mae,2,1
inverted,100,1,0.00016745442927937598,mae,2,2
inverted,100,1,7.346695055459717e-05,mae,2,3
inverted,100,1,7.465497929703448e-05,mae,2,4
inverted,100,1,4.048267290552611e-05,mae,2,5
inverted,100,1,0.00016909112658479962,mae,2,6
inverted,100,1,0.0002267417932175879,mae,2,7
inverted,100,1,4.601438888560388e-05,mae,2,8
inverted,100,1,2.1498384826989722e-05,mae,2,9
inverted,500,1,2.9349568437745353e-05,mae,2,0
inverted,500,1,2.6942102212832233e-05,mae,2,1
inverted,500,1,1.1640900836338945e-05,mae,2,2
inverted,500,1,2.5362499822516836e-05,mae,2,3
inverted,500,1,1.1399844585092446e-05,mae,2,4
inverted,500,1,7.896129521372652e-05,mae,2,5
inverted,500,1,0.00012622958513554706,mae,2,6
inverted,500,1,0.0001554547831305415,mae,2,7
inverted,500,1,6.0336198447204226e-05,mae,2,8
inverted,500,1,7.820362313755783e-06,mae,2,9
inverted,1000,1,1.5297344431586604e-05,mae,2,0
inverted,1000,1,1.550498468112088e-05,mae,2,1
inverted,1000,1,1.783184074473712e-05,mae,2,2
inverted,1000,1,4.604178065529749e-05,mae,2,3
inverted,1000,1,1.8215933657037345e-06,mae,2,4
inverted,1000,1,4.351421180328035e-05,mae,2,5
inverted,1000,1,8.330093037376383e-06,mae,2,6
inverted,1000,1,2.4246596168277408e-05,mae,2,7
inverted,1000,1,4.305977711172547e-05,mae,2,8
inverted,1000,1,3.505777466558148e-06,mae,2,9
inverted,100,1,0.016774375080387087,rmse,10,0
inverted,100,1,0.037684388341738526,rmse,10,1
inverted,100,1,0.0742573354201096,rmse,10,2
inverted,100,1,0.09892688122658058,rmse,10,3
inverted,100,1,0.04218949013213351,rmse,10,4
inverted,100,1,0.06718576668168129,rmse,10,5
inverted,100,1,0.15437655651282461,rmse,10,6
inverted,100,1,0.11537703892669042,rmse,10,7
inverted,100,1,0.018671355374378067,rmse,10,8
inverted,100,1,0.041308072722218946,rmse,10,9
inverted,500,1,0.030497454902421645,rmse,10,0
inverted,500,1,0.03734040192701722,rmse,10,1
inverted,500,1,0.03931994541123045,rmse,10,2
inverted,500,1,0.0035893451578983453,rmse,10,3
inverted,500,1,0.01362605782788686,rmse,10,4
inverted,500,1,0.038889898969115363,rmse,10,5
inverted,500,1,0.019979025989559904,rmse,10,6
inverted,500,1,0.013539504425249512,rmse,10,7
inverted,500,1,0.001582849950992482,rmse,10,8
inverted,500,1,0.0037072217963191757,rmse,10,9
inverted,1000,1,0.006990603041383567,rmse,10,0
inverted,1000,1,0.016135042000188757,rmse,10,1
inverted,1000,1,0.006858344994224352,rmse,10,2
inverted,1000,1,0.003311412661312055,rmse,10,3
inverted,1000,1,0.018047599804680008,rmse,10,4
inverted,1000,1,0.02755828067561439,rmse,10,5
inverted,1000,1,0.010650061210529685,rmse,10,6
inverted,1000,1,0.018065021374576423,rmse,10,7
inverted,1000,1,0.0016912927320746004,rmse,10,8
inverted,1000,1,0.0023137484158712207,rmse,10,9
inverted,100,1,0.605534366595407,smape,10,0
inverted,100,1,0.963943370460775,smape,10,1
inverted,100,1,2.5887301728466063,smape,10,2
inverted,100,1,3.1204048495139456,smape,10,3
inverted,100,1,1.4000293200135556,smape,10,4
inverted,100,1,2.1143290536675208,smape,10,5
inverted,100,1,5.436488245251817,smape,10,6
inverted,100,1,3.8760026510264907,smape,10,7
inverted,100,1,0.7410120948900268,smape,10,8
inverted,100,1,1.1301139255512793,smape,10,9
inverted,500,1,1.0323533987250484,smape,10,0
inverted,500,1,1.2585862936727397,smape,10,1
inverted,500,1,1.121848409617277,smape,10,2
inverted,500,1,0.12361884880407788,smape,10,3
inverted,500,1,0.5039540534757652,smape,10,4
inverted,500,1,1.1442597192158552,smape,10,5
inverted,500,1,0.6884205642329952,smape,10,6
inverted,500,1,0.772944658725205,smape,10,7
inverted,500,1,0.11860555944457568,smape,10,8
inverted,500,1,0.133272916007289,smape,10,9
inverted,1000,1,0.2583592702748072,smape,10,0
inverted,1000,1,0.5317859537150241,smape,10,1
inverted,1000,1,0.19058569358563682,smape,10,2
inverted,1000,1,0.1685833286996359,smape,10,3
inverted,1000,1,0.606727884957494,smape,10,4
inverted,1000,1,0.7750364783380971,smape,10,5
inverted,1000,1,0.3184651267937608,smape,10,6
inverted,1000,1,0.7102199614155382,smape,10,7
inverted,1000,1,0.0919073887714197,smape,10,8
inverted,1000,1,0.10766886033879038,smape,10,9
inverted,100,1,0.0015112034094595668,mae,10,0
inverted,100,1,0.002899245222285284,mae,10,1
inverted,100,1,0.00735678719447751,mae,10,2
inverted,100,1,0.00921114448881971,mae,10,3
inverted,100,1,0.003999822313931859,mae,10,4
inverted,100,1,0.006432837456292477,mae,10,5
inverted,100,1,0.015218603594711682,mae,10,6
inverted,100,1,0.011091527044203402,mae,10,7
inverted,100,1,0.0019877812343342166,mae,10,8
inverted,100,1,0.0035427133252553455,mae,10,9
inverted,500,1,0.003001815354615266,mae,10,0
inverted,500,1,0.0036233365223613994,mae,10,1
inverted,500,1,0.0035250116786893397,mae,10,2
inverted,500,1,0.0003343850179595721,mae,10,3
inverted,500,1,0.001402663893986102,mae,10,4
inverted,500,1,0.0035258450010951293,mae,10,5
inverted,500,1,0.0019046632076482619,mae,10,6
inverted,500,1,0.00167103621110539,mae,10,7
inverted,500,1,0.00019692855627693253,mae,10,8
inverted,500,1,0.0003711061240726201,mae,10,9
inverted,1000,1,0.0007256460244631,mae,10,0
inverted,1000,1,0.0015454353295445806,mae,10,1
inverted,1000,1,0.000574388322257774,mae,10,2
inverted,1000,1,0.0003519565091090179,mae,10,3
inverted,1000,1,0.001768495153046199,mae,10,4
inverted,1000,1,0.00242063940831498,mae,10,5
inverted,1000,1,0.0009781419025785296,mae,10,6
inverted,1000,1,0.0019282403327989647,mae,10,7
inverted,1000,1,0.00018710158670566906,mae,10,8
inverted,1000,1,0.00025855193372394895,mae,10,9
