dataset,train_steps,n_simulations,forecast_prediction_steps,model,score,score_type,repetition
german,100,1,1,TSMixer,0.99858934,r2,0
german,100,1,1,VAR,0.99994236,r2,0
german,100,1,1,TiDE,0.99935263,r2,0
german,100,1,1,Oracle,0.9999725,r2,0
german,100,1,1,TSMixer,0.9984909,r2,1
german,100,1,1,VAR,0.99980485,r2,1
german,100,1,1,TiDE,0.99930286,r2,1
german,100,1,1,Oracle,0.9999725,r2,1
german,100,1,1,TSMixer,0.99864644,r2,2
german,100,1,1,VAR,0.9999425,r2,2
german,100,1,1,TiDE,0.9994249,r2,2
german,100,1,1,Oracle,0.9999725,r2,2
german,100,1,1,TSMixer,0.9989691,r2,3
german,100,1,1,VAR,0.99954623,r2,3
german,100,1,1,TiDE,0.9993821,r2,3
german,100,1,1,Oracle,0.9999725,r2,3
german,100,1,1,TSMixer,0.99856126,r2,4
german,100,1,1,VAR,0.99978256,r2,4
german,100,1,1,TiDE,0.9992945,r2,4
german,100,1,1,Oracle,0.9999725,r2,4
german,100,1,1,TSMixer,0.9986222,r2,5
german,100,1,1,VAR,0.99995095,r2,5
german,100,1,1,TiDE,0.9993417,r2,5
german,100,1,1,Oracle,0.9999725,r2,5
german,100,1,1,TSMixer,0.9987083,r2,6
german,100,1,1,VAR,0.9999538,r2,6
german,100,1,1,TiDE,0.99944055,r2,6
german,100,1,1,Oracle,0.9999725,r2,6
german,100,1,1,TSMixer,0.9987236,r2,7
german,100,1,1,VAR,0.99995804,r2,7
german,100,1,1,TiDE,0.99942493,r2,7
german,100,1,1,Oracle,0.9999725,r2,7
german,100,1,1,TSMixer,0.99860334,r2,8
german,100,1,1,VAR,0.9998121,r2,8
german,100,1,1,TiDE,0.9994121,r2,8
german,100,1,1,Oracle,0.9999725,r2,8
german,100,1,1,TSMixer,0.9987458,r2,9
german,100,1,1,VAR,0.99979,r2,9
german,100,1,1,TiDE,0.9993368,r2,9
german,100,1,1,Oracle,0.9999725,r2,9
