dataset,train_steps,n_simulations,score_mean,score_type
german,100,1,"[3.64256470e-02 4.24428387e-03 2.84828748e-03 2.56234477e-05
 7.04239600e-04 1.87098161e-05 4.08435314e-05]",r2
german,100,2,"[1.71283888e-02 1.75983105e-03 3.96418201e-04 1.42641950e-04
 2.26227530e-04 6.14037803e-06 1.80131984e-05]",r2
german,100,3,"[1.06723496e-02 6.22362917e-04 1.95825152e-04 6.76766305e-06
 7.76544713e-05 9.51136441e-07 3.57682123e-06]",r2
german,100,4,"[4.61532592e-03 4.76365311e-04 3.15702628e-05 8.77068465e-06
 5.60417321e-05 1.91991547e-06 4.73219540e-06]",r2
german,100,5,"[2.61302929e-03 2.45462166e-04 1.72163346e-05 3.51903728e-06
 2.70627414e-05 1.09772155e-06 2.45345435e-06]",r2
german,100,6,"[3.39140070e-03 3.31311351e-04 1.08560143e-04 5.07677105e-06
 3.91142075e-05 2.07221191e-06 3.85033389e-06]",r2
german,100,7,"[3.58816700e-03 2.18796121e-04 8.45883163e-05 1.51598525e-06
 2.89631802e-05 7.40197317e-07 1.97903953e-06]",r2
german,100,8,"[4.06100304e-03 2.41682947e-04 3.18870658e-05 1.95510409e-06
 3.09896607e-05 4.22513467e-07 1.58378213e-06]",r2
german,100,9,"[2.38923604e-03 1.22623328e-04 6.69261280e-05 4.76068109e-05
 1.97618012e-05 3.95640507e-07 1.60438720e-06]",r2
german,100,10,"[1.23295250e-03 3.40617914e-05 7.20730432e-06 8.23465931e-06
 4.07089579e-06 6.42369634e-08 5.56855278e-08]",r2
german,100,11,"[9.71497460e-04 1.65243080e-05 9.31882690e-06 5.19938313e-06
 1.74975665e-06 1.47988904e-07 4.79954264e-08]",r2
german,100,12,"[1.08075856e-03 1.64538084e-05 9.39137546e-06 7.58246808e-06
 1.79566132e-06 1.76423985e-07 4.23088659e-08]",r2
german,100,13,"[1.20004244e-03 2.28707085e-05 1.57527179e-05 9.55347095e-07
 2.71759982e-06 1.42840910e-07 4.17664589e-08]",r2
german,100,14,"[1.64466361e-03 4.06863958e-05 1.57316589e-05 1.77400752e-06
 6.12305366e-06 6.27422138e-08 8.33535413e-08]",r2
german,100,15,"[1.65493061e-03 4.34540786e-05 1.55337852e-04 7.15079951e-06
 6.57133266e-06 6.02783948e-08 6.41696791e-08]",r2
german,100,16,"[1.63810878e-03 4.33099486e-05 1.43305882e-04 1.26870292e-05
 7.57925004e-06 3.95008120e-08 9.74223171e-08]",r2
german,100,17,"[1.63368615e-03 3.56337089e-05 1.63633003e-04 7.56911313e-06
 6.53062992e-06 2.99086833e-08 1.14230195e-07]",r2
german,100,18,"[1.69179930e-03 3.15036943e-05 3.21086152e-05 7.96059720e-07
 6.96992879e-06 3.87930684e-08 2.20858888e-07]",r2
german,100,19,"[1.67724324e-03 2.26159313e-05 9.16832814e-06 1.43808562e-06
 5.89864670e-06 2.51240061e-08 1.71232315e-07]",r2
german,100,20,"[1.81973840e-03 2.77979850e-05 1.77680881e-05 8.00475084e-07
 7.59480205e-06 5.02479447e-08 2.97346959e-07]",r2
german,200,1,"[1.26370401e-02 1.26833378e-03 5.46424664e-04 1.48487221e-04
 1.68237121e-04 4.15928834e-06 1.27222375e-05]",r2
german,200,2,"[2.96627277e-03 5.41790589e-04 6.04494370e-05 2.92663694e-05
 4.84037144e-05 2.15848475e-06 5.13659755e-06]",r2
german,200,3,"[1.50193224e-03 3.45806542e-04 2.78252529e-05 1.36444569e-06
 2.18663623e-05 1.44552297e-06 2.42358037e-06]",r2
german,200,4,"[1.89893047e-03 2.94819937e-04 6.19926982e-05 5.91238582e-07
 1.95311346e-05 3.82747545e-07 1.16851690e-06]",r2
german,200,5,"[7.77558436e-04 9.43294352e-05 8.20597892e-06 1.53011516e-06
 4.65993885e-06 5.85202129e-08 2.28373299e-07]",r2
german,200,6,"[6.57979596e-04 5.23678383e-05 2.41992119e-05 2.24946744e-06
 1.94324824e-06 1.22483222e-08 3.31607123e-08]",r2
german,200,7,"[7.58631680e-04 5.59378906e-05 8.96930343e-05 1.98891548e-05
 3.05885232e-06 2.86627880e-08 4.56004699e-08]",r2
german,200,8,"[7.74238403e-04 3.20566740e-05 2.55827677e-04 4.57619708e-05
 2.62661132e-06 2.05411513e-08 2.19833345e-08]",r2
german,200,9,"[8.08845781e-04 3.25662355e-05 1.98658268e-04 1.60901754e-05
 3.06921830e-06 2.67997337e-08 6.34681297e-08]",r2
german,200,10,"[6.43739287e-04 1.38188604e-05 4.32395348e-05 1.62696197e-06
 1.77189718e-06 1.54795968e-08 6.17535618e-08]",r2
german,200,11,"[6.39101604e-04 1.37995918e-05 8.27329864e-05 4.81804206e-06
 2.07325641e-06 3.57365331e-08 9.36261451e-08]",r2
german,200,12,"[5.21052428e-04 6.10313298e-06 5.67628804e-05 3.36219182e-06
 1.26094122e-06 2.16191842e-08 5.59233663e-08]",r2
german,200,13,"[2.91456353e-04 4.51121840e-06 1.60896332e-05 9.23354731e-07
 5.89794447e-07 1.49732587e-08 4.19293115e-08]",r2
german,200,14,"[2.52089193e-04 1.23482193e-05 1.46402978e-05 3.28073805e-06
 1.30581077e-06 1.12418273e-07 1.53260115e-07]",r2
german,200,15,"[3.16905700e-04 1.41154254e-05 3.45579768e-06 2.28622304e-07
 1.51338162e-06 9.82388004e-08 1.81901989e-07]",r2
german,200,16,"[1.59463199e-04 1.66214235e-06 4.92096579e-06 9.05665398e-07
 2.00010731e-07 4.16659269e-09 9.23277133e-09]",r2
german,200,17,"[2.01929243e-04 3.96338535e-06 2.90088172e-06 1.33636156e-06
 3.41824458e-07 5.34518801e-09 1.14324560e-08]",r2
german,200,18,"[1.10217184e-04 4.77937716e-07 3.35522404e-06 2.66990612e-07
 1.35697423e-07 1.82946597e-08 1.22930010e-08]",r2
german,200,19,"[6.44710268e-05 1.82379680e-06 8.50736373e-06 3.85988212e-07
 2.96240480e-07 1.25746123e-08 1.07942040e-08]",r2
german,200,20,"[1.02096918e-04 4.08196259e-07 4.03563207e-06 2.62021109e-07
 7.37649235e-08 1.97081939e-09 4.90330456e-10]",r2
