dataset,train_steps,n_simulations,score_mean,score_type
german,100,1,"[1.36560280e-03 1.15495541e-04 3.00334080e-03 8.15766780e-06
 3.60228654e-06 1.07234419e-07 1.46103008e-07]",r2
german,100,2,"[2.52472866e-04 1.67054088e-05 1.34824204e-04 2.03029577e-05
 8.17542355e-08 1.47941664e-08 8.86823919e-09]",r2
german,100,3,"[1.24367201e-04 7.66103439e-07 6.87236258e-05 1.37015290e-06
 2.53227180e-07 7.61473837e-08 7.05478230e-08]",r2
german,100,4,"[3.82696674e-05 3.58068506e-06 1.37566524e-05 5.11832927e-07
 4.34265433e-08 1.17245296e-09 4.94150642e-09]",r2
german,100,5,"[2.22792219e-05 1.59082972e-06 6.63094985e-06 2.09080190e-07
 1.36080718e-08 7.25504808e-10 1.28463736e-09]",r2
german,100,6,"[7.43399314e-06 2.54643485e-06 2.72939865e-05 9.04469675e-07
 5.32950227e-08 8.25617966e-09 9.81513982e-09]",r2
german,100,7,"[1.02513107e-05 3.95318961e-07 2.53903685e-05 3.78549385e-07
 1.65050217e-08 3.40237973e-09 2.33915176e-09]",r2
german,100,8,"[1.08051270e-05 6.78529186e-07 1.20556076e-05 1.49039533e-07
 1.44714929e-08 1.02616893e-08 5.23229470e-09]",r2
german,100,9,"[1.74248707e-05 2.59443964e-07 8.33369301e-06 2.80545173e-06
 9.14960809e-09 8.96422703e-10 1.44226018e-09]",r2
german,100,10,"[2.18659050e-05 4.88051606e-08 2.71396293e-06 3.60137526e-07
 1.00980104e-08 1.27147111e-08 7.76848876e-09]",r2
german,100,11,"[1.02875111e-05 3.69705784e-08 3.46180883e-06 1.95424465e-07
 2.88379483e-08 1.85859589e-08 1.58966858e-08]",r2
german,100,12,"[2.00916040e-05 1.41740027e-08 3.37662633e-06 2.90499819e-07
 1.97363008e-08 1.77450950e-08 1.32437169e-08]",r2
german,100,13,"[2.18187150e-05 9.50809279e-09 4.55878300e-06 7.38325546e-08
 1.72571301e-08 1.72747067e-08 1.50647595e-08]",r2
german,100,14,"[2.92369623e-05 1.17588923e-08 4.68634726e-06 1.05472066e-07
 8.93062295e-09 1.34854927e-08 1.03167385e-08]",r2
german,100,15,"[1.08459680e-05 1.64827130e-08 2.86591915e-05 1.07983996e-06
 2.08378787e-08 1.73406349e-08 1.86721398e-08]",r2
german,100,16,"[9.71331612e-06 2.03901879e-08 2.55893057e-05 1.40492633e-06
 1.47157236e-08 1.35955524e-08 1.59625285e-08]",r2
german,100,17,"[6.82578886e-06 6.30233474e-08 3.18123778e-05 1.14633085e-06
 2.58206033e-08 1.32158172e-08 1.47660762e-08]",r2
german,100,18,"[5.10170233e-06 1.54386820e-07 9.14938325e-06 1.74093973e-07
 3.15954641e-08 1.05460403e-08 1.01482176e-08]",r2
german,100,19,"[6.48312583e-06 4.21290378e-07 3.80058362e-06 9.33580778e-08
 6.28487586e-08 1.58158149e-08 1.51511375e-08]",r2
german,100,20,"[7.69005238e-06 4.25510731e-07 6.79808124e-06 1.01589631e-07
 5.84944509e-08 1.30012325e-08 1.26491028e-08]",r2
german,200,1,"[5.37860762e-04 6.54959408e-06 1.48046386e-04 2.07624267e-05
 1.03882006e-07 4.10124046e-08 1.34732734e-08]",r2
german,200,2,"[2.89361995e-05 7.62104398e-06 1.37861597e-05 1.58953207e-06
 1.79757606e-07 1.61040396e-08 3.88030703e-08]",r2
german,200,3,"[4.89434290e-06 5.95129639e-06 8.26582502e-06 2.21691783e-07
 1.32753607e-07 1.75205493e-08 2.25265061e-08]",r2
german,200,4,"[3.63166303e-05 5.02235110e-06 1.64198261e-05 1.57580920e-07
 1.13540518e-07 2.49987567e-09 6.36363007e-09]",r2
german,200,5,"[5.41262958e-05 2.00874382e-06 2.40412349e-06 7.44350823e-08
 6.35213452e-08 1.42331852e-09 4.00423045e-09]",r2
german,200,6,"[4.43061927e-05 1.12950094e-06 5.78450515e-06 2.56769061e-07
 2.46102376e-08 5.22622534e-10 5.54076252e-10]",r2
german,200,7,"[3.93859999e-05 8.25951070e-07 1.39093263e-05 1.44401099e-06
 1.89738792e-08 1.05219803e-09 1.44053953e-09]",r2
german,200,8,"[1.45671713e-05 1.17444984e-07 3.70188413e-05 3.68541361e-06
 7.74543843e-09 2.52211032e-09 6.51130831e-09]",r2
german,200,9,"[3.20792133e-06 4.85478040e-08 3.42317885e-05 1.84193149e-06
 1.23511427e-08 2.92512419e-09 4.98772127e-09]",r2
german,200,10,"[1.43027523e-06 3.18806592e-08 1.14418261e-05 3.23999977e-07
 2.65058535e-08 3.40795499e-09 4.39663654e-09]",r2
german,200,11,"[1.89099599e-06 3.30745944e-08 1.79911905e-05 6.58971386e-07
 1.89106240e-08 1.68883278e-09 3.01436540e-09]",r2
german,200,12,"[4.21320758e-06 5.98972334e-08 1.05421822e-05 4.47108323e-07
 1.10297797e-08 8.25642652e-10 1.73184907e-09]",r2
